Method	Order	Level	Stage	Time	NodeType	Action	Target	Value	Comment	Condition
BURNIN	1	0	InstrumentSetup	{Initial Time}	StageNode	STAGE		InstrumentSetup		
BURNIN	2	0	InstrumentSetup	{Initial Time}	CommmentNode	COMMENT			=========================================================================================	
BURNIN	3	0	InstrumentSetup	{Initial Time}	CommmentNode	COMMENT			IM to condition the temperature sensor and to test the Peltier aging of the Vanquish VH-C10-A, VC-C10-A and VA-C10-A	
BURNIN	4	0	InstrumentSetup	{Initial Time}	CommmentNode	COMMENT			=========================================================================================	
BURNIN	5	0	InstrumentSetup	{Initial Time}	CommmentNode	COMMENT			HPLC-System:	
BURNIN	6	0	InstrumentSetup	{Initial Time}	CommmentNode	COMMENT			-----------	
BURNIN	7	0	InstrumentSetup	{Initial Time}	CommmentNode	COMMENT			VH-C10-A, VC-C10-A or VA-C10-A	
BURNIN	8	0	Equilibration	-0.700	StageNode	STAGE		Equilibration		
BURNIN	9	0	Equilibration	-0.700	CommmentNode	COMMENT			=========================================================================================	
BURNIN	10	0	Equilibration	-0.700	CommmentNode	COMMENT			Parameters valid for the whole test.	
BURNIN	11	0	Equilibration	-0.700	CommmentNode	COMMENT			=========================================================================================	
BURNIN	12	0	Equilibration	-0.700	CommmentNode	COMMENT			If the difference between nominal and actual temperature is larger than ReadyTempDelta, the VTCC is not ready.	
BURNIN	13	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.CC.ReadyTempDelta	3.0 [°C]		
BURNIN	14	0	Equilibration	-0.700	CommmentNode	COMMENT			The Ready property will become Ready only if the difference between the setpoint temperature and the nominal temperature will not exceed the ReadyTempDelta for the  time interval specified by EquilibrationTime.	
BURNIN	15	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.CC.EquilibrationTime	0.5		
BURNIN	16	0	Equilibration	-0.700	CommmentNode	COMMENT			The VTCC adjusts the temperature only, if TempCtrl is set to ON for each single unit.	
BURNIN	17	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.CC.TempCtrl	On		
BURNIN	18	0	Equilibration	-0.700	IfNode	IF				ColumnComp.ModelNo="VH-C10-A"
BURNIN	19	1	Equilibration	-0.700	CommandStepNode	RUN	ColumnComp.CmdString	Cmd="PCC.TempCtrl=0"	String necessary, because otherwise a way more complicated solution would be needed for using this IM for both CC types. Is equivalent to ColumnComp.PCC.TempCtrl=Off	
BURNIN	20	0	Equilibration	-0.700	ElseNode	ELSE				
BURNIN	21	0	Equilibration	-0.700	IfBlockNode	END IF				
BURNIN	22	0	Equilibration	-0.700	CommmentNode	COMMENT			Thermostatting Mode	
BURNIN	23	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.CC.Mode	StillAir		
BURNIN	24	0	Equilibration	-0.700	CommmentNode	COMMENT			Generic variables  for Triggers	
BURNIN	25	0	Equilibration	-0.700	PropertyStepNode	SET	Variables.GenericFloat1	0		
BURNIN	26	0	Equilibration	-0.700	CommmentNode	COMMENT			Variable for minimum and maximum temperature	
BURNIN	27	0	Equilibration	-0.700	IfNode	IF				ColumnComp.ModelNo="VH-C10-A"
BURNIN	28	1	Equilibration	-0.700	PropertyStepNode	SET	Variables.GenericDouble1	5.0	Minimum temperature for VH-C10-A	
BURNIN	29	1	Equilibration	-0.700	PropertyStepNode	SET	Variables.GenericDouble2	120.0	Maximum temperature for VH-C10-A                            [Val_FOQ_CM7_ekugelma_07-Jul-2020]: OK	
BURNIN	30	0	Equilibration	-0.700	ElseIfNode	ELSE IF				ColumnComp.ModelNo="VC-C10-A" OR ColumnComp.ModelNo="VA-C10-A"
BURNIN	31	1	Equilibration	-0.700	PropertyStepNode	SET	Variables.GenericDouble1	5.0	Minimum temperature for VC-C10-A and VA-C10-A	
BURNIN	32	1	Equilibration	-0.700	PropertyStepNode	SET	Variables.GenericDouble2	85.0	Maximum temperature for VC-C10-A and VA-C10-A                       [Val_FOQ_CM7_ekugelma_07-Jul-2020]: OK	
BURNIN	33	0	Equilibration	-0.700	ElseNode	ELSE				
BURNIN	34	1	Equilibration	-0.700	CommandStepNode	RUN	Message	"Invalid ModelNo! Please reinspect in production!"		
BURNIN	35	1	Equilibration	-0.700	CommandStepNode	RUN	System.AbortQueue			
BURNIN	36	0	Equilibration	-0.700	IfBlockNode	END IF				
BURNIN	37	0	Equilibration	-0.700	CommmentNode	COMMENT			=========================================================================================	
BURNIN	38	0	Equilibration	-0.700	CommmentNode	COMMENT			Leak Sensor State deactivated to avoide alarms caused by condensation due to fast heat up and cool down during IM	
BURNIN	39	0	Equilibration	-0.700	CommmentNode	COMMENT			=========================================================================================	
BURNIN	40	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.LiquidLeakSensor	Off		
BURNIN	41	0	Equilibration	-0.700	CommmentNode	COMMENT			===================================================================================	
BURNIN	42	0	Equilibration	-0.700	CommmentNode	COMMENT			Settings for all channels offered for the column compartment by the driver.	
BURNIN	43	0	Equilibration	-0.700	CommmentNode	COMMENT			Also debug channels are aqcuired.	
BURNIN	44	0	Equilibration	-0.700	CommmentNode	COMMENT			====================================================================================	
BURNIN	45	0	Equilibration	-0.700	CommmentNode	COMMENT			Column commpartment	
BURNIN	46	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.CC_U_Temp_Actual.Data_Collection_Rate	20		
BURNIN	47	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.CC_L_Temp_Actual.Data_Collection_Rate	20		
BURNIN	48	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.CC_UCTL_TempRear_Actual.Data_Collection_Rate	20		
BURNIN	49	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.PWM_CCU_A.Data_Collection_Rate	20		
BURNIN	50	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.PWM_CCU_B.Data_Collection_Rate	20		
BURNIN	51	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.PWM_CCL_A.Data_Collection_Rate	20		
BURNIN	52	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.PWM_CCL_B.Data_Collection_Rate	20		
BURNIN	53	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.Fan_Rear_ActualRPM.Data_Collection_Rate	20		
BURNIN	54	0	Equilibration	-0.700	CommmentNode	COMMENT			Leak Sensors	
BURNIN	55	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.LEDBoard_LeakDiff.Data_Collection_Rate	20		
BURNIN	56	0	Equilibration	-0.700	PropertyStepNode	SET	ColumnComp.LEDBoard_A13.Data_Collection_Rate	20		
